wavelength,mean_reflectance_le_5
350.60193709,225.48922056600003
351.03772818,233.67153910800002
351.47350942,233.023255809
351.90928082,230.179028138
352.34504234,232.016949143
352.78079397,235.138662321
353.21653569,229.20096852400002
353.65226748,232.81499203000004
354.08798932,230.349877955
354.5237012,231.03505842100003
354.95940309,235.57347670300004
355.39509497,252.77516464599998
355.83077683,246.84060723000002
356.26644864,242.98988039399995
356.70211039,248.16135083799995
357.13776206,238.40566872800005
357.57340363,229.37819420099999
358.00903508,234.65217392900004
358.44465639,232.115869018
358.88026755,230.477346279
359.31586852,232.26581266500006
359.7514593,230.848827805
360.18703986,222.34976888300002
360.62261019,213.878787875
361.05817026,215.61417321999997
361.49372007,215.94003242799994
361.92925958,225.45012165099996
362.36478878,235.18204909600004
362.80030765,249.446397182
363.23581617,238.41098170599997
363.67131432,246.82444063599996
364.10680209,238.548109966
364.54227945,229.78896104400002
364.97774638,232.68252667600004
365.41320287,237.40016993900002
365.8486489,237.795608119
366.28408445,240.00855432599997
366.71950949,251.71113154300002
367.15492401,244.43845462200002
367.590328,238.44212359000002
368.02572142,238.68824530499995
368.46110427,242.17353952399998
368.89647652,241.55231561500005
369.33183815,255.20107238
369.76718915,271.978239363
370.2025295,261.473788329
370.63785917,246.28334868300004
371.07317815,249.69641213200003
371.50848642,237.23953694699998
371.94378395,225.38775509600003
372.37907074,234.416118417
372.81434676,239.43650125200003
373.24961199,233.15208155800002
373.68486642,233.102006695
374.12011002,235.033500834
374.55534277,229.300168648
374.99056467,226.61303980600002
375.42577567,223.509060962
375.86097578,222.16788915899997
376.29616497,235.36082474300002
376.73134321,245.409691647
377.1665105,241.398783649
377.6016668,245.10917031099999
378.03681211,242.80349346099996
378.47194641,226.01769910900003
378.90706966,215.181747875
379.34218187,220.757927307
379.777283,225.476374894
380.21237303,229.35612084099998
380.64745196,232.77408637099998
381.08251975,226.50668765700001
381.5175764,221.534847284
381.95262187,212.81081081800002
382.38765616,200.645390073
382.82267924,198.465791285
383.25769109,204.63272726400004
383.6926917,212.227171488
384.12768105,217.760853017
384.56265911,236.56040270100002
384.99762586,237.03952903299995
385.4325813,229.364303178
385.8675254,231.878589023
386.30245813,235.68351285599996
386.73737949,231.230516831
387.17228945,238.47328244700003
387.60718799,242.268835605
388.04207509,237.210828565
388.47695074,226.476642919
388.91181492,228.90923565499997
389.3466676,224.111714515
389.78150877,221.923076914
390.21633841,217.146171689
390.6511565,214.262295078
391.08596302,214.51660517
391.52075795,214.996379445
391.95554127,210.72443182899997
392.39031297,212.664259932
392.82507302,219.30722890300004
393.2598214,206.52707580199998
393.6945581,195.07299269000004
394.1292831,200.155096008
394.56399638,193.967809651
394.99869791,191.471618772
395.43338769,199.62481963
395.86806568,203.147751607
396.30273188,200.168539334
396.73738625,201.29842181100003
397.1720288,199.87377278499997
397.60665948,188.943805006
398.04127829,188.62823061199998
398.47588521,183.29113924999996
398.91048022,190.68151146699998
399.34506329,188.60726072300002
399.77963441,195.192043892
400.21419356,191.31720430000001
400.64874072,187.82890473
401.08327588,175.498912021
401.517799,173.67904265400003
401.95231008,162.15957147
402.3868091,158.15051374700002
402.82129603,153.62176870399998
403.25577086,144.662892431
403.69023356,134.27657480200003
404.12468412,125.63734291
404.55912252,115.36024218199998
404.99354874,106.043517679
405.42796276,96.832238426
405.86236457,83.49696561100001
406.29675414,74.740618752
406.73113145,64.566255473
407.16549648,54.925647450999996
407.59984922,46.64868701100001
408.03418965,41.301278148
408.46851774,35.658385092
408.90283349,31.732430747999995
409.33713686,28.877021667999998
409.77142784,26.258158086
410.20570642,24.498972837000004
410.63997256,22.527340825
411.07422626,20.765964897999996
411.50846749,19.311531177000003
411.94269624,18.387252367000002
412.37691248,17.107784247999998
412.81111621,16.416176960999998
413.24530738,15.894453257999999
413.679486,15.397997322999998
414.11365204,14.805677594999997
414.54780547,14.378557504
414.98194629,13.899844694
415.41607447,13.564356436999997
415.85018999,13.170608801
416.28429284,12.860747094999999
416.71838299,12.766773431
417.15246043,12.598503074000002
417.58652514,12.389765784999998
418.02057709,12.296811607999999
418.45461627,12.180934352
418.88864266,12.032383390000001
419.32265625,12.058906122
419.756657,12.109555044
420.19064491,12.050783806999998
420.62461995,12.064668138999998
421.0585821,12.035579078000001
421.49253135,12.002175780999998
421.92646768,11.881497528999999
422.36039106,11.885738944
422.79430148,11.817533616999999
423.22819892,11.764725140000001
423.66208336,11.691103579
424.09595478,11.614536531999999
424.52981316,11.541842799
424.96365849,11.475700843000002
425.39749074,11.391622154
425.83130989,11.346720292
426.26511593,11.351167502
426.69890883,11.293502908
427.13268858,11.330361545
427.56645516,11.309149344
428.00020855,11.216618809999998
428.43394873,11.210896742
428.86767568,11.250032816
429.30138939,11.230128714
429.73508982,11.293072664000002
430.16877697,11.377117044000002
430.60245081,11.355257126000001
431.03611133,11.367724915
431.46975851,11.344536802
431.90339232,11.296581863000002
432.33701276,11.297162877
432.77061979,11.325800507999999
433.2042134,11.282398666
433.63779357,11.243679165999998
434.07136029,11.238718146
434.50491352,11.169330883
434.93845327,11.114698197000001
435.37197949,11.076320833
435.80549219,11.069334906000002
436.23899132,11.060583259
436.67247689,11.094231415
437.10594887,11.099313724000002
437.53940723,11.181000609
437.97285197,11.266058491
438.40628306,11.300177271999999
438.83970048,11.320681346
439.27310421,11.349627947
439.70649424,11.291500095999998
440.13987054,11.257564795
440.5732331,11.183082426999999
441.00658189,11.108613349999999
441.4399169,11.074255047000001
441.87323811,11.039037136000001
442.30654551,10.994547675
442.73983906,11.00523256
443.17311875,11.010893266
443.60638457,10.981398515
444.03963649,11.027854005
444.47287449,11.021460857
444.90609856,11.013781187000001
445.33930868,10.979455264000002
445.77250482,10.967978140000001
446.20568697,10.920791990999998
446.63885511,10.895837388999999
447.07200922,10.873929161000001
447.50514928,10.885168094
447.93827527,10.886421655
448.37138718,10.907655062999998
448.80448497,10.932297257000002
