696.15754031,10.776048754
683.49410379,10.842710367
666.575202,10.775524519
650.04257632,10.644363455
637.72627483,10.716211523
621.55908061,10.654330699
611.75831891,10.382254829
598.95777541,10.749333486
583.1447342,10.509192727
576.72615748,10.483248741
564.30433977,10.556539703
546.28556168,10.523080341
534.25488839,10.596656413
517.90517671,10.678112143
506.70417698,10.538035591
492.47132755,10.711141794
481.24522149,10.784543933
470.44096776,10.922258735
459.62728958,11.014737859
450.53673472,10.992101198
439.27310421,11.349627947
431.03611133,11.367724915
420.62461995,12.064668139
