wavelength,mean_reflectance_gt_5
350.60193709,33.817567566
351.03772818,32.65496434399999
351.47350942,31.016666664000002
351.90928082,31.094360693000006
352.34504234,30.743243240999995
352.78079397,29.807256235
353.21653569,29.948834563000002
353.65226748,30.772222226000004
354.08798932,30.370370371999996
354.5237012,30.375350141000002
354.95940309,31.542261251999996
355.39509497,32.653061222999995
355.83077683,32.743114105000004
356.26644864,32.64013452799999
356.70211039,31.971671386000004
357.13776206,31.299005267000002
357.57340363,30.328831474999998
358.00903508,30.134581627
358.44465639,30.374926774
358.88026755,30.553613057
359.31586852,32.675266408000006
359.7514593,32.782462053
360.18703986,33.05725403
360.62261019,33.504132228
361.05817026,34.281752636
361.49372007,31.752232145000004
361.92925958,32.032657661
362.36478878,31.790295592999996
362.80030765,32.147273747999996
363.23581617,31.173526139
363.67131432,32.426636566
364.10680209,31.469772600000006
364.54227945,31.892045455000005
364.97774638,30.628242078
365.41320287,31.895462377
365.8486489,31.634285716
366.28408445,32.820366131
366.71950949,32.759815243000006
367.15492401,33.448863639
367.590328,31.856733526
368.02572142,32.91425260999999
368.46110427,33.172011659999995
368.89647652,33.174061432
369.33183815,34.203714124
369.76718915,34.90725126699999
370.2025295,34.307948861999996
370.63785917,33.450704224
371.07317815,33.335135136
371.50848642,32.002188186
371.94378395,31.232201535
372.37907074,31.01685699
372.81434676,31.01425439
373.24961199,30.486456607999997
373.68486642,31.472826084999998
374.12011002,32.817831592000005
374.55534277,31.709956713999997
374.99056467,31.994444447
375.42577567,32.384658145
375.86097578,31.918903486000005
376.29616497,31.212968142
376.73134321,32.825836221
377.1665105,33.540372669
377.6016668,34.30344049599999
378.03681211,34.852104665
378.47194641,35.528683916000006
378.90706966,33.93788130899999
379.34218187,32.380422693
379.777283,32.224108659
380.21237303,31.299619360999998
380.64745196,30.395449623
381.08251975,31.230266739999998
381.5175764,31.751904245
381.95262187,32.16880341700001
382.38765616,33.43195266
382.82267924,33.579638747999994
383.25769109,32.980203317000004
383.6926917,32.128661086
384.12768105,31.158730157999997
384.56265911,30.193029489000004
384.99762586,31.453674123999996
385.4325813,31.541778974999993
385.8675254,31.935129191999998
386.30245813,32.517866959
386.73737949,31.960043193999997
387.17228945,29.599783670000004
387.60718799,29.17153478299999
388.04207509,29.867303608000004
388.47695074,29.619989590999996
388.91181492,29.899894623
389.3466676,31.312863948999997
389.78150877,31.835306781000003
390.21633841,32.069878245
390.6511565,31.265091859
391.08596302,31.688515995
391.52075795,31.768916156999996
391.95554127,32.438524589
392.39031297,30.920372287
392.82507302,30.918580377
393.2598214,30.771558245
393.6945581,29.826388888000004
394.1292831,29.677734377
394.56399638,30.539620806
394.99869791,30.639115807999996
395.43338769,30.333660453
395.86806568,30.518703243000004
396.30273188,30.977777777
396.73738625,30.269607840000003
397.1720288,30.171484565999997
397.60665948,29.823473282
398.04127829,30.168697279999996
398.47588521,28.411301527
398.91048022,28.923992676
399.34506329,28.810260944
399.77963441,28.622202721999997
400.21419356,28.147007045
400.64874072,27.903930133
401.08327588,26.810326434
401.517799,26.060223203
401.95231008,26.050836949000008
402.3868091,25.989347011
402.82129603,26.304224283999996
403.25577086,25.962236745000002
403.69023356,25.6012333
404.12468412,25.399561265000003
404.55912252,25.191519437
404.99354874,24.971644612
405.42796276,24.594230552999996
405.86236457,23.770234475000002
406.29675414,22.943689653
406.73113145,22.105968149000002
407.16549648,21.176696052
407.59984922,20.554169829000003
408.03418965,20.203477618
408.46851774,19.664234723
408.90283349,19.371773382999997
409.33713686,19.094628862
409.77142784,18.866189482
410.20570642,18.624666494
410.63997256,18.548891149000003
411.07422626,18.361355663
411.50846749,18.346159471999997
411.94269624,18.172392285999997
412.37691248,18.109475943
412.81111621,18.125210578
413.24530738,18.131977366
413.679486,18.114751238000004
414.11365204,18.164478852
414.54780547,18.24491966
414.98194629,18.202588447999997
415.41607447,18.22515781
415.85018999,18.195331109
416.28429284,18.219112077
416.71838299,18.194653334999998
417.15246043,18.144086606
417.58652514,18.101104788999997
418.02057709,18.087143379000004
418.45461627,18.071218700000003
418.88864266,18.030804749999998
419.32265625,18.066621743
419.756657,18.073541166
420.19064491,18.105175546
420.62461995,18.130018869
421.0585821,18.163994386000002
421.49253135,18.180781493000005
421.92646768,18.202000002
422.36039106,18.219265139
422.79430148,18.235906824000004
423.22819892,18.252964622
423.66208336,18.235453218000004
424.09595478,18.207063441
424.52981316,18.182602296000002
424.96365849,18.140454661
425.39749074,18.086032434
425.83130989,18.099817644999998
426.26511593,18.075492242000003
426.69890883,18.053805535
427.13268858,18.017447783999998
427.56645516,18.018566529
428.00020855,17.980509452
428.43394873,17.975722778
428.86767568,17.995381762
429.30138939,18.01551011
429.73508982,18.030895227
430.16877697,18.027574774999998
430.60245081,18.063850123
431.03611133,18.069356497
431.46975851,18.092845751000002
431.90339232,18.096604665999998
432.33701276,18.118590686
432.77061979,18.117772176
433.2042134,18.094801052
433.63779357,18.040243384
434.07136029,17.981956078999996
434.50491352,17.926223353000005
434.93845327,17.872810963
435.37197949,17.809675079
435.80549219,17.786755622999998
436.23899132,17.757371753999998
436.67247689,17.731251639
437.10594887,17.699213747
437.53940723,17.693620977
437.97285197,17.691914872999998
438.40628306,17.722913824
438.83970048,17.756137902
439.27310421,17.794209947999995
439.70649424,17.823193597
440.13987054,17.849451250999998
440.5732331,17.843917372999996
441.00658189,17.835665614
441.4399169,17.838437813000002
441.87323811,17.815745989
442.30654551,17.787129885000002
442.73983906,17.760978361000003
443.17311875,17.741677950000003
443.60638457,17.68850744
444.03963649,17.663513114999997
444.47287449,17.609304528999996
444.90609856,17.560944225000004
445.33930868,17.496624736
445.77250482,17.454412499
446.20568697,17.418358791
446.63885511,17.40679636
447.07200922,17.419801651
447.50514928,17.44750026
447.93827527,17.467965147999998
448.37138718,17.514557694999997
448.80448497,17.550463201
449.23756865,17.583657845
449.67063818,17.578863984999998
450.10369354,17.607505598
450.53673472,17.598135149
450.9697617,17.587194066000002
451.40277446,17.559095828
451.83577298,17.54385284
452.26875725,17.488366311
452.70172723,17.44545377
453.13468291,17.403184680000003
453.56762428,17.365117122999997
454.00055132,17.33035673
454.433464,17.297822203000003
454.8663623,17.249280384
455.29924622,17.212628449
455.73211572,17.173368582000002
456.16497079,17.162926659999997
456.59781142,17.182518516
457.03063757,17.205929592
